,0
0,"""개인이 참여가 거의 불가능한 사모펀드에 시기적으로 민정수석 임명 이후에 본인 전재산의 1.5배를 약정하고 투자대상 기업이 신호등체계를 만드는 회사로 전량 정부상대 납품이 되는 사업임. 본인이 정부 요직에 있으면서 해당업체 뒤를 봐주면 100프로 성공한다는 확신이 있었던거임. 하나부터 열까지 전부 조작과 기획에 의한 돈놀이임. 이런놈은 살인범등 흉악범보다 더 악질임 이딴게 민정수석과 법무장관등 국무총리보다 더 중요한 요직을 꽤차고 있다는거만 봐도 딴놈들은 안봐도 비디오임. 이러니 나라가 제대로 돌아갈리가 없지"""
1,"""이쯤되면 법무부장관이 아니라 감방가야 하는거 아님~더군다나 민정수석 재직시절 동안에 이루어진 일인데 문재인집권초기 적폐청산이 정책기조인데 완벽한 적폐잖아 애국하는 이재용이도 감방단녀왔는데~조국이 적폐죄로 처벌해야 하는거 아닌감? 아님 벌금을 한 1000억 물려버리던지 괘씸죄로 다가~저런짓거리 해놓고 죽창가소리하고 국민들 친일파 만들고 넘 어의없지 않니 영화 베테낭 조태호수준인데 진짜 뻔뻔하네"""
2,"""조국님하고 문통님 두분은 성격이 찰떡 궁합인듯 보통사람이 이렇게 욕먹으면 자살하는데 멘탈도 좋고 강하긴한데......두분다 그만 내려오세요 그게 국민을 위한 길입니다"""
3,"""서울대출신 중 현재  가장 부끄러운 사람1위라죠??? 예전에 우병우씨가 1위라면서 비아냥대더니 본인이 1위 탈환하셨네요??!!  감축드려욧!!"""
4,"""건국이래 이렇게 단기간에 많이 해먹은 인물이 없습니다 어이가 없군요 법 집행이 아니라 법의 심판을 받아야 합니다"""
5,"""지돈 10억으로 100억 1000억 만들려는거였겠지. 조국이 주인인거네. 지가 만든거네.뭘 남탓해. 지들이 없을땐 정의롭다가 권력잡으니 뵈는게 없었던거지. 저런 거지과 많자나. 놈현도 세상 깨끗한척하더니 마누라 애새키들 잘 쳐묵고 뽀록나니 뛰내리고. 죽으니 또 우상되고."""
6,"""더 안 좋은 모습 드러나기전에 물러나는게 맞다. 한 두 가지가 아니다. 그리고 교수가 직업인 사람이 가르치던 학생들에게 비판 받는 대자보가 서울대 안에 붙어있을 정도면 이미 게임 끝인거다 . 학생애게 인정 받지 못한 선생이 누굴 가르치고 누굴 개혁하고 이끌 수 있나?"""
7,"""이명박근혜때 모두까기에 앞장서길래 본인은 청렴한줄 알았더니 결국 셀프디스였네. 조국이 조국이에게. 죽창이 필요한 때."""
8,"""이 사모펀드가 웃긴게 주소지에 회사가 없음. 업계에서 알려져 있지도 않은 회사가 33%이상 수익을 냄. 그리고, 신기하게도 돈버는 곳이 다 정부, 공공기관 계약따낸 회사들에 투자. 조국이 전재산 몰빵한 곳이  태양광 가로등 센서만드는 곳인데 상식적으로 정부가 해당업체 제품 계약할거 모르고선 전재산을 그런데 몰빵할 수가 없음. 근데 이분 돈없어서 세금도 못냈다고 하더니 현금 예금만 40억이 넘던데,,? 그런데도 이번에 또 세금체납되서 후보자 되기전에 납부. 위장전입은 덤이고 동생도 빚인갚으려고 위장이혼. 이쯤되면 도덕성 하위1%임."""
9,"""이걸 정상적인 투자로 생각을 하니까 이해가 안가는거지..  민정수석이란 권력을 이용해서 한탕 제대로 하려고 했다면 이해 안될께 뭐가 있냐?  끌어 모을수 있는 돈 전부 끌어모아서 사모펀드 이용 해서 가로등 개발 회사에 몰빵 하고~ 그 가로등 회사에 납품 주면 주가 몇배로 뛸거고~ 그럼 수백억 버는거지...  솔직히 실세인 조국이 납품 주라고 하면 어떤 지자체장이 거절할수 있겠냐?"""
