0,"""연대 법대출신 토익925점 kt취업vs건대 충주캠 무스펙 귀걸이낀 증명사진 이력서 공기업 취업 ㅋㅋㅋㅋ 뭐가 더 말이안대냐"""
1,"""전직 공안 검사 출신 이자나...없는 일도 만들고 없던 말도 만들고...그렇게 일반인 빵갱이 간첩 만들어 감옥 보내던 사람 아녀...지 버릇 개주겠나...."""
2,"""교활이!  이새.키는  503호뇬 밑에 있을때는 다들 벙어리인줄 알았어.....헐~ 근데 지금보니 완전 투머치토커네. ㅎㅎ  에라 두드러기 고의 병역기피한 미필 새.키! 퉷퉷"""
3,"""이렇게 입이 가벼운 작자가 어찌 대권을 노린다는건지... 한심하지 짝이 없는 개누리당"""
4,"""연세대나온 아들이 KT간게 뭐대수라고 지잡나온 귀걸이 아빠나 조사해봐라 정권의 개들아"""
5,"""어떻게 저런사람이 당 대표를 하는지..수준을 알것같음"""
6,"""뭐 아는게 있어야지\n뱉는 말마다 무식이 철철 넘치는데\n 그치? 황그네씨"""
7,"""정치할 깜냥은 안되는 듯"""
8,"""진짜 더러운 나라다... 북한 사회랑 다를게 대체 뭐냐??? 스펙 젓도 없는 귀걸이 그 양아치 새끼나 수사해라... 아무리 비교해도 그 귀걸이 양아치랑 황교안 아들이랑 비교가 되냐???? 황씨 아들이 훨씬 윗레벨인데... 어처구니 없는 것들이네... 탈탈 털어 무조건 뒤집어 씌우고 보수패당 궤멸 궁리중이냐???"""
9,"""똥 오줌 못가리더니 드디어 바지에 똥샀네 ㅋ"""
10,"""어부지리로 국무총리에서 권한대행\n대표까지 하는 사람이 무슨 정치력이 뛰어나서...ㅉㅉ\n최소한 국회의원은 해보고 당대표 하는거 아니냐???ㅋㅋ"""
11,"""연법에 kt가 특혜일까 건대지방캠 귀걸이에 공기업이 특혜일까? 경우 없는 ㅅH77l들 조사할 거면 똑같이 ㅊ ㅕ 조사를 하던지 ㅋㅋㅋㅋㅋㅋ"""
12,"""말하고 생각하지말고 생각하고 말해라."""
13,"""남자 박근혜란 말이 어쩜 이렇게 딱 들어맞냐 ㅋㅋㅋㅋㅋㅋ"""
14,"""그네순시리 빨아대던입인데 정상일수가없지."""
15,"""문재인 아들 건대 충주캠 나와서 고용정보원 취직한거는 수사 안하냐?  나는 그게 더 의심스러운데,, 연세대 법대 나와\nKT입사한거보다,,"""
16,"""입이 가벼운게 아니고 생각이 가벼워 입에서 세어나오는 것"""
17,"""내가 마. 박근혜 모신. 마. 국무총리다. 마~~~전두환때. 마. 내가 마 공안검사 출신이다. 마~~"""
18,"""입이 가벼운게 아니라 뇌가 가벼운 듯"""
19,"""근데 이게 수사 대상이 되냐? 이런 거 가지고 수사 대상이라면 문준용이는 왜 안하는거냐?"""
20,"""반어법인데 1도 모르네 뉘앙스 차이를 제발..영어좀 배워라기자새끼야"""
21,"""트럼프가 저팔계 년만 특급 칭찬하냐? 정은이 돼지 색기도 극찬한다.  트럼프식 반어법을 칭찬이라고 개소리하는 언론노조 기레기놈이 가관이네."""
22,"""외국 정상이 공식 석상에서  상대국 정상 부인을 언급하는 거 자체가 부끄러운 일이란 걸 국밥집 아줌마가 알 턱이 있나...나대더니 결국은 이 마당에까지 왔다."""
23,"""조롱인지 칭찬인지도 모르는 문빠들"""
24,"""영단어보몀 비꼴때쓰는 단어임 ㅋㅋㅋ 활달하다고 해석하는데 실제론 나댄다는 표현으로 해석하면됨 ㅋㅋㅋㅋㅋㅋ"""
25,"""솔직히 난 김정숙이 저 이야기 듣고 진짜 본인이 대단한 여자라고 믿고 더 나댈까봐 그게 걱정이다."""
26,"""그만 쌉치고 구석에 찌그러지라는 트럼프식 화법이다 달창들아 ㅋㅋ"""
27,"""알고보니 김정숙은 사드반대와 반미투쟁의 로고인 파란나비 브로치를 차고 다녔다.이를 모를리 없는 미국정보계통이 트럼프에게 보고 했을것이다.트럼프는 세차례나 김정숙을 칭찬했다.그만큼 ''괘씸한 여자''라는 생각에 분을 참지 못했다는 뜻이다."""
28,"""ㅋㅋㅋㅋ너무 나대서 돌려서 말한것뿐\n트럼프가 머리가 좋아 역시 사업가"""
29,"""트럼프 성격상 한번칭찬은 립서비스라 할 수있는데...세번이상 칭찬한거 보면..김여사에게 실제 감동 많이 받은 듯..."""
30,"""이런기사 말고 얼마전에 기업수장들 오찬회동한거 무슨내용인지 궁금한데... 대통령부인이 기업인들 오라가라하다니 .. 뭐하는건지"""
31,"""누가봐도 비꼰거였는데 기사를 이렇게 쓸수도있군요ㅋㅋㅋㅋ"""
32,"""립서비스이고, 우리나라 정권을 잡고있는 사람들을 치켜세워주면서 정당성을 부여해주면서 원하는 걸 얻어내기 위한 트럼프의 처세임. 김정은에게도 비슷한 행동을 취하고 있음"""
33,"""늘 활짝웃으며 사랑가득한 표정만으로도 여러사람 기쁘게 만들죠.\n정말 좋습니다"""
34,"""비꼰건데 문재인보다 말을 더많이하니 그런애기가 나온거지"""
35,"""천박하게 존나 설치고 나댄다는 영어식 반어법"""
36,"""트럼프도\n어지간히\n국밥집 아주매가\n거슬렸나부다. .\n진짜 \n나대는거\n보기싫더라. ."""
37,"""네이버 초록일베들 드글드글하네 ㅋㅋ"""
38,"""김정숙여사, 긍정적인 에너지를 가진 특별한 사람."""
39,"""ㅋㅋㅋㅋㅋ정신 못차리고 싸드반대 뱃지달고 나오니깐 그렇게 비꼬아서 말하는거지ㅋㅋㅋ 다음 방미할 때 반미로 분류되어서 입국심사도 못받고 반품당할듯ㅋㅋㅋㅋ"""
40,"""강x상이 조선일보 출신...후배등골 빼서\n 본인 앞가림 하는놈이 무슨...."""
41,"""후안무치 뻔뻔의 대명사 대구 새끼."""
42,"""관상이 간신 상이구먼.뭘 했어도 자네 관상은 그짓거리다."""
43,"""자유망국당 원님들은  하나같이  평화가오는것을 부정하고  긴장관계  공포를조성  안보의  색깔론을 씌워  표만빼먹을려는 사악한무리의  집단같다"""
44,"""얘네들은 그냥 가만히 있으면 중간이라도 할 텐데, 가만히 있지를 못하고 굳이 주접을 떨어서 망신을 당하더라. 문제는 그게 매주 한두건씩 벌어지는데도 멈출 기미가 안보인다는거 ㅋ 등신들만 모여서 그런가? ㅋ"""
45,"""후배인생 조져놓고 양심도 없는 ㅅㄲ.."""
46,"""예상이라기보다 너의바램이였겠지..."""
47,"""기분좋게 예측이 빗나갔다? 개망신 당한 놈의 변명이라고 하기엔 지나치게 치졸하구나.  뻔뻔하기가 조선찌라시 출신답다."""
